"obs_id","rel_river","opened_at","first_at","last_at"
"24014010","낙동강동해","1962-06-01","20080119","20240722"
"24034020","낙동강동해","2023-03-05","20230419","20240722"
"25044010","낙동강남해","1974-07-01","19890401","20240722"
"30014010","금강","1916-01-01","19800616","20240722"
"30014020","금강","1960-06-01","19800823","20240722"
"30014030","금강","1962-01-00","19800601","19931201"
"30014040","금강","1962-07-01","19800617","20240722"
"30014080","금강","1973-01-01","19800616","20240722"
"30014090","금강","--","NULL","NULL"
"30014100","금강","1900-01-01","19840703","20060720"
"30014120","금강","1983-04-01","19830714","20240722"
"30014130","금강","1900-01-01","19930111","20100405"
"30014140","금강","1999-06-15","20031226","20240722"
"30014150","금강","1999-06-15","20031226","20240722"
"30014160","금강","1999-06-15","19990615","20240722"
"30014170","금강","1999-06-15","20031226","20240722"
"30014180","금강","1999-06-15","20031226","20240722"
"30014190","금강","1999-06-15","20031226","20240722"
"30014210","금강","2000-01-01","20031226","20240722"
"30034010","금강","1916-01-01","19800616","20240722"
"30034020","금강","1973-01-01","19800825","20240722"
"30034030","금강","1979-09-15","19840703","20240722"
"30034040","금강","1983-04-01","19830716","20240722"
"30034050","금강","1992-07-09","19930111","20240722"
"30034060","금강","1999-05-25","20010116","20240722"
"30044010","금강","1960-06-00","NULL","NULL"
"30044020","금강","1962-04-00","NULL","NULL"
"30044030","금강","1979-09-15","19840703","20240722"
"30044040","금강","1979-09-15","19840703","20240722"
"30054010","금강","1962-07-01","19800616","20240722"
"30054020","금강","1973-01-01","19810619","20240722"
"30054030","금강","1979-09-15","19840703","20240722"
"30054040","금강","1982-08-01","19820811","20240722"
"30054050","금강","1982-08-01","19820811","20240722"
"30054060","금강","1984-03-05","19850628","20240722"
"30054070","금강","1999-05-25","20010116","20240722"
"30054080","금강","1999-05-25","20010116","20240722"
"30064010","금강","1969-08-16","NULL","NULL"
"30064020","금강","1979-09-15","19840703","20240722"
"30074010","금강","1960-05-01","19800624","20240722"
"30074030","금강","1973-01-01","19820725","20240722"
"30074040","금강","--","NULL","NULL"
"30074050","금강","1982-08-01","19820820","20240722"
"30074060","금강","1979-09-15","19840703","20240722"
"30074070","금강","1982-05-01","19820725","20240722"
"30074080","금강","1982-08-01","19820812","20240722"
"30074090","금강","1982-08-01","19820813","20240722"
"30074100","금강","1982-08-01","19820811","20240722"
"30074110","금강","1982-08-01","19830620","20240722"
"30074130","금강","1982-08-01","19830620","20240722"
"30074140","금강","1992-07-09","19930111","20240722"
"30074150","금강","1992-07-09","19930111","20240722"
"30074160","금강서해","2001-09-01","20040703","20240722"
"30084010","금강","1931-04-00","19810705","19931201"
"30084030","금강","1965-11-01","19800614","20240722"
"30084040","금강","1979-09-15","19840703","20240722"
"30084050","금강","1992-07-09","19930111","20240722"
"30084060","금강","1992-07-09","19930111","20240722"
"30084070","금강","1993-06-01","19930601","20240722"
"30084080","금강","1999-05-25","20010116","20240722"
"30084090","금강","1999-05-25","20010116","20240722"
"30094010","금강","1993-06-01","19930601","20240722"
"30094020","금강","1993-06-01","19930601","20240722"
"30094030","금강","2001-05-01","20010507","20240722"
"30094040","금강","2001-05-01","20010507","20240722"
"30094050","금강","2001-05-01","20010507","20240722"
"30104010","금강","1960-05-01","19800813","20240722"
"30114010","금강","1960-06-01","19800725","20240722"
"30114020","금강","1993-06-01","19930601","20240722"
"30114030","금강","1966-09-01","19800616","20240722"
"30114040","금강","1971-07-01","19790606","20240722"
"30114050","금강","1973-01-01","19800617","20240722"
"30114060","금강","1973-01-01","19800616","20240722"
"30114070","금강","1993-06-01","19930601","20240722"
"30114090","금강","2006-01-01","20060101","20240722"
"30114100","금강","2006-01-01","20060101","20240722"
"30114110","금강","2015-01-01","NULL","NULL"
"30114120","금강","2015-01-01","NULL","NULL"
